咪咕央卫,#genre#
粤超 佛山VS揭阳 全场回放（普通话） 19:30,http://45.192.97.170:8880/play/170.m3u8
粤超 佛山VS揭阳 全场回放（粤语） 19:30,http://45.192.97.170:8880/play/171.m3u8
粤超 佛山VS揭阳 全场回放（潮汕话） 19:30,http://45.192.97.170:8880/play/172.m3u8
粤超 肇庆VS汕尾 全场回放（普通话） 19:30,http://45.192.97.170:8880/play/173.m3u8
粤超 肇庆VS汕尾 全场回放（粤语） 19:30,http://45.192.97.170:8880/play/174.m3u8
徽青赛 滁州VS合肥 全场回放 19:30,http://45.192.97.170:8880/play/175.m3u8
攀岩系列赛 中国速度攀岩系列赛（湖南长沙站）Day1 2026年中国速度攀岩系列赛湖南长沙站Day1全场回放（官方解说）（一） 09:10,http://45.192.97.170:8880/play/176.m3u8
攀岩系列赛 中国速度攀岩系列赛（湖南长沙站）Day1 2026年中国速度攀岩系列赛湖南长沙站Day1全场回放（官方解说）（二） 09:10,http://45.192.97.170:8880/play/177.m3u8
全国女子篮球锦标赛 浙江稠州银行VS合肥文旅 全场回放 19:20,http://45.192.97.170:8880/play/178.m3u8
中超 成都蓉城VS辽宁铁人楠波湾 全场回放（苏东、杨晨、李子琪） 19:20,http://45.192.97.170:8880/play/179.m3u8
湘超 怀化队VS娄底队 全场回放 19:38,http://45.192.97.170:8880/play/180.m3u8
湘超 湘西队VS永州队 全场回放 19:38,http://45.192.97.170:8880/play/181.m3u8
苏超 扬州队VS宿迁队 全场回放（官方解说） 19:10,http://45.192.97.170:8880/play/182.m3u8
苏超 常州队VS无锡队 全场回放（官方解说） 19:10,http://45.192.97.170:8880/play/183.m3u8
苏超 淮安队VS连云港队 全场回放 19:10,http://45.192.97.170:8880/play/184.m3u8
中超 河南俱乐部彩陶坊VS重庆铜梁龙 全场回放（刘腾、王伟） 19:45,http://45.192.97.170:8880/play/185.m3u8
中甲 定南赣联VS苏州东吴 全场回放（官方解说） 19:50,http://45.192.97.170:8880/play/186.m3u8
赣超 九江队VS抚州队 全场回放 20:00,http://45.192.97.170:8880/play/187.m3u8
赣超 宜春队VS萍乡队 全场回放 20:00,http://45.192.97.170:8880/play/188.m3u8
赣超 南昌队VS赣州队 全场回放 20:00,http://45.192.97.170:8880/play/189.m3u8
赣超 景德镇队VS上饶队 全场回放 20:00,http://45.192.97.170:8880/play/190.m3u8
粤超 东莞VS阳江 全场回放（普通话） 20:00,http://45.192.97.170:8880/play/191.m3u8
粤超 东莞VS阳江 全场回放（粤语） 20:00,http://45.192.97.170:8880/play/192.m3u8
男篮世预赛 科特迪瓦VS埃及 全场回放（赛场原声） 20:20,http://45.192.97.170:8880/play/193.m3u8
德甲 埃尔沃斯贝格VS勒沃库森 全场回放（刘洋） 21:15,http://45.192.97.170:8880/play/194.m3u8
德甲 科隆VS霍芬海姆 全场回放（周楚雄） 21:15,http://45.192.97.170:8880/play/195.m3u8
德甲 柏林联VS法兰克福 全场回放（吴子越） 21:15,http://45.192.97.170:8880/play/196.m3u8
德甲 美因茨VS帕德博恩 全场回放（刘洪新） 21:15,http://45.192.97.170:8880/play/197.m3u8
德甲 RB莱比锡VS门兴格拉德巴赫 全场回放（涂远、秦游夏） 21:15,http://45.192.97.170:8880/play/198.m3u8
英超 考文垂VS赫尔城 全场回放（黄航） 21:55,http://45.192.97.170:8880/play/199.m3u8
英超 考文垂VS赫尔城 全场回放（AI智慧观赛） 21:55,http://45.192.97.170:8880/play/200.m3u8
